movie_name,release_year,director,age_difference,actor_1_name,actor_1_gender,actor_1_birthdate,actor_1_age,actor_2_name,actor_2_gender,actor_2_birthdate,actor_2_age,same_sex
This Means War,2012,McG,-4,Chris Pine,man,1980-08-26,32,Reese Witherspoon,woman,1976-03-21,36,FALSE
Twilight,2008,Catherine Hardwicke,4,Robert Pattinson,man,1986-05-13,22,Kristen Stewart,woman,1990-04-09,18,FALSE
Two Weeks Notice,2002,Marc Lawrence,4,Hugh Grant,man,1960-09-09,42,Sandra Bullock,woman,1964-07-26,38,FALSE
Walk the Line,2005,James Mangold,4,Joaquin Phoenix,man,1974-10-28,31,Ginnifer Goodwin,woman,1978-05-22,27,FALSE
Wayne's World,1993,Penelope Spheeris,4,Mike Myers,man,1963-04-25,30,Tia Carrere,woman,1967-01-02,26,FALSE
We Are Your Friends,2015,Max Joseph,4,Zac Efron,man,1987-10-18,28,Emily Ratajkowski,woman,1991-06-07,24,FALSE
Whatever Works,2009,Woody Allen,4,Henry Cavill,man,1983-05-05,26,Evan Rachel Wood,woman,1987-09-07,22,FALSE
X-Men,2000,Bryan Singer,-4,Hugh Jackman,man,1968-10-12,32,Famke Janssen,woman,1964-11-05,36,FALSE
A Woman Under the Influence,1974,John Cassavetes,3,Peter Falk,man,1927-09-16,47,Gena Rowlands,woman,1930-06-19,44,FALSE
Amelia,2009,Mira Nair,3,Ewan McGregor,man,1971-03-31,38,Hilary Swank,woman,1974-07-30,35,FALSE
American Beauty,1999,Sam Mendes,3,Peter Gallagher,man,1955-08-19,44,Annette Bening,woman,1958-05-29,41,FALSE
Arbitrage,2012,Nicholas Jarecki,-3,Richard Gere,man,1949-08-31,63,Susan Sarandon,woman,1946-10-04,66,FALSE
Becoming Jane,2007,Julian Jarrold,3,James McAvoy,man,1979-04-21,28,Anne Hathaway,woman,1982-11-12,25,FALSE
Bridget Jones's Baby,2016,Sharon Maguire,3,Patrick Dempsey,man,1966-01-13,50,Renee Zellweger,woman,1969-04-25,47,FALSE
Cinderella,2015,Kenneth Branagh,3,Richard Madden,man,1986-06-18,29,Lily James,woman,1989-04-05,26,FALSE
City of Angels,1998,Brad Silberling,-3,Nicolas Cage,man,1964-01-07,34,Meg Ryan,woman,1961-11-19,37,FALSE
Closer,2004,Mike Nichols,3,Clive Owen,man,1964-10-03,40,Julia Roberts,woman,1967-10-28,37,FALSE
Coyote Ugly,2000,David McNally,3,Adam Garcia,man,1973-06-01,27,Piper Perabo,woman,1976-10-31,24,FALSE
"Crouching Tiger, Hidden Dragon",2000,Ang Lee,3,Chang Chen,man,1976-10-14,24,Zhang Ziyi,woman,1979-02-09,21,FALSE
Deadpool,2016,Tim Miller,3,Ryan Reynolds,man,1976-10-23,40,Morena Baccarin,woman,1979-06-02,37,FALSE
Don Jon,2013,Joseph Gordon-Levitt,3,Joseph Gordon-Levitt,man,1981-02-17,32,Scarlett Johansson,woman,1984-11-22,29,FALSE
Enemy of the State,1998,Tony Scott,3,Will Smith,man,1968-09-25,30,Regina King,woman,1971-01-15,27,FALSE
Fight Club,1999,David Fincher,-3,Edward Norton,man,1969-08-18,30,Helena Bonham Carter,woman,1966-05-26,33,FALSE
Fight Club,1999,David Fincher,3,Brad Pitt,man,1963-12-18,36,Helena Bonham Carter,woman,1966-05-26,33,FALSE
